Tanggal,Fakultas,Kategori,Anggaran (Juta Rp),Realisasi (Juta Rp)
31/01/2020,FTE,Operasional,431.0,414.5935385952032
31/01/2020,FTE,Riset dan Pengembangan,341.0,319.42878631270725
31/01/2020,FTE,Kemahasiswaan,369.0,347.0554701051623
31/01/2020,FTE,Pengembangan Infrastruktur,204.0,193.48937869805445
31/01/2020,FRI,Operasional,445.0,424.3525745164163
31/01/2020,FRI,Riset dan Pengembangan,277.0,253.19468707294112
31/01/2020,FRI,Kemahasiswaan,209.0,200.30735462535182
31/01/2020,FRI,Pengembangan Infrastruktur,442.0,412.89282149241285
31/01/2020,FIF,Operasional,170.0,168.9029852640121
31/01/2020,FIF,Riset dan Pengembangan,276.0,172.35553343193646
31/01/2020,FIF,Kemahasiswaan,333.0,302.72400966208517
31/01/2020,FIF,Pengembangan Infrastruktur,202.0,183.3526576549357
31/01/2020,FEB,Operasional,490.0,451.4591848010791
31/01/2020,FEB,Riset dan Pengembangan,643.5,398.615295819774
31/01/2020,FEB,Kemahasiswaan,319.0,308.92311690376823
31/01/2020,FEB,Pengembangan Infrastruktur,412.0,400.81865289032606
31/01/2020,FKB,Operasional,355.5,434.4447886867689
31/01/2020,FKB,Riset dan Pengembangan,107.0,105.23081482915704
31/01/2020,FKB,Kemahasiswaan,492.0,449.3239746046333
31/01/2020,FKB,Pengembangan Infrastruktur,289.0,276.65795175176504
31/01/2020,FIT,Operasional,271.5,328.6134184993541
31/01/2020,FIT,Riset dan Pengembangan,243.0,239.28344206109387
31/01/2020,FIT,Kemahasiswaan,143.0,132.30518718470336
31/01/2020,FIT,Pengembangan Infrastruktur,485.0,447.5596591865412
31/01/2020,FIK,Operasional,277.0,258.1179465917601
31/01/2020,FIK,Riset dan Pengembangan,489.0,459.6680538854404
31/01/2020,FIK,Kemahasiswaan,123.0,115.77661608121402
31/01/2020,FIK,Pengembangan Infrastruktur,462.0,449.93336819918716
29/02/2020,FTE,Operasional,104.0,103.51456367781695
29/02/2020,FTE,Riset dan Pengembangan,153.0,143.87119323262954
29/02/2020,FTE,Kemahasiswaan,244.0,236.1929505788302
29/02/2020,FTE,Pengembangan Infrastruktur,224.0,215.63769201326525
29/02/2020,FRI,Operasional,305.0,302.6863604837034
29/02/2020,FRI,Riset dan Pengembangan,292.0,263.2998846280667
29/02/2020,FRI,Kemahasiswaan,487.0,457.79395826760054
29/02/2020,FRI,Pengembangan Infrastruktur,382.0,344.62024018628523
29/02/2020,FIF,Operasional,388.0,375.4289438188493
29/02/2020,FIF,Riset dan Pengembangan,496.5,325.8793458070317
29/02/2020,FIF,Kemahasiswaan,324.0,308.9781224321174
29/02/2020,FIF,Pengembangan Infrastruktur,286.0,267.32630742627356
29/02/2020,FEB,Operasional,282.0,259.09251132883765
29/02/2020,FEB,Riset dan Pengembangan,517.5,333.8119189478717
29/02/2020,FEB,Kemahasiswaan,147.0,135.08170962099965
29/02/2020,FEB,Pengembangan Infrastruktur,243.0,225.04230186936715
29/02/2020,FKB,Operasional,174.0,220.13764360731886
29/02/2020,FKB,Riset dan Pengembangan,494.0,491.45731366754745
29/02/2020,FKB,Kemahasiswaan,306.0,276.51405646006003
29/02/2020,FKB,Pengembangan Infrastruktur,351.0,335.41846423009446
29/02/2020,FIT,Operasional,133.5,161.9091335250899
29/02/2020,FIT,Riset dan Pengembangan,225.0,214.06650533784543
29/02/2020,FIT,Kemahasiswaan,253.0,248.8002298200601
29/02/2020,FIT,Pengembangan Infrastruktur,171.0,168.66202130727842
29/02/2020,FIK,Operasional,357.0,339.47087252766
29/02/2020,FIK,Riset dan Pengembangan,285.0,276.8467081333543
29/02/2020,FIK,Kemahasiswaan,311.0,283.92366060188766
29/02/2020,FIK,Pengembangan Infrastruktur,179.0,176.95980873546873
31/03/2020,FTE,Operasional,278.0,251.4339439005751
31/03/2020,FTE,Riset dan Pengembangan,359.0,356.02153758332696
31/03/2020,FTE,Kemahasiswaan,284.0,269.1647985876509
31/03/2020,FTE,Pengembangan Infrastruktur,425.0,399.9070233577533
31/03/2020,FRI,Operasional,388.0,387.0573537656067
31/03/2020,FRI,Riset dan Pengembangan,284.0,260.21214226472244
31/03/2020,FRI,Kemahasiswaan,138.0,128.83795834942535
31/03/2020,FRI,Pengembangan Infrastruktur,105.0,98.28517450068543
31/03/2020,FIF,Operasional,375.0,363.8489845079048
31/03/2020,FIF,Riset dan Pengembangan,237.0,145.41979147603274
31/03/2020,FIF,Kemahasiswaan,269.0,258.1610490330103
31/03/2020,FIF,Pengembangan Infrastruktur,299.0,290.8701600467597
31/03/2020,FEB,Operasional,127.0,126.30508648245342
31/03/2020,FEB,Riset dan Pengembangan,195.0,123.18615742450935
31/03/2020,FEB,Kemahasiswaan,434.0,428.3257748804337
31/03/2020,FEB,Pengembangan Infrastruktur,260.0,247.48554936248215
31/03/2020,FKB,Operasional,221.25,294.8108391197902
31/03/2020,FKB,Riset dan Pengembangan,217.0,203.13800947777636
31/03/2020,FKB,Kemahasiswaan,103.0,97.78989905815887
31/03/2020,FKB,Pengembangan Infrastruktur,289.0,275.45652840054305
31/03/2020,FIT,Operasional,102.75,124.75705526121502
31/03/2020,FIT,Riset dan Pengembangan,276.0,257.4681942727481
31/03/2020,FIT,Kemahasiswaan,491.0,464.7683225510646
31/03/2020,FIT,Pengembangan Infrastruktur,141.0,133.80651296726293
31/03/2020,FIK,Operasional,350.0,345.70333506574184
31/03/2020,FIK,Riset dan Pengembangan,378.0,360.01605054396987
31/03/2020,FIK,Kemahasiswaan,325.0,322.45869457587315
31/03/2020,FIK,Pengembangan Infrastruktur,100.0,93.9913626522199
30/04/2020,FTE,Operasional,234.0,222.20459099108734
30/04/2020,FTE,Riset dan Pengembangan,178.0,170.23197314036418
30/04/2020,FTE,Kemahasiswaan,330.0,307.3209421026149
30/04/2020,FTE,Pengembangan Infrastruktur,200.0,199.41406432971286
30/04/2020,FRI,Operasional,357.0,341.3288005243234
30/04/2020,FRI,Riset dan Pengembangan,463.0,452.3733027523775
30/04/2020,FRI,Kemahasiswaan,490.0,444.40375730110645
30/04/2020,FRI,Pengembangan Infrastruktur,172.0,157.74842007398036
30/04/2020,FIF,Operasional,117.0,115.92374443078745
30/04/2020,FIF,Riset dan Pengembangan,384.0,237.84879215084678
30/04/2020,FIF,Kemahasiswaan,408.0,382.09435126243426
30/04/2020,FIF,Pengembangan Infrastruktur,232.0,209.36378417681723
30/04/2020,FEB,Operasional,351.0,316.97966724296475
30/04/2020,FEB,Riset dan Pengembangan,292.5,183.64926852807397
30/04/2020,FEB,Kemahasiswaan,469.0,442.402957386076
30/04/2020,FEB,Pengembangan Infrastruktur,281.0,268.59306321103395
30/04/2020,FKB,Operasional,369.0,488.7217332267917
30/04/2020,FKB,Riset dan Pengembangan,356.0,325.95471881864324
30/04/2020,FKB,Kemahasiswaan,430.0,427.6901258304726
30/04/2020,FKB,Pengembangan Infrastruktur,206.0,195.9369540815543
30/04/2020,FIT,Operasional,91.5,113.24122683658706
30/04/2020,FIT,Riset dan Pengembangan,487.0,458.3727187855543
30/04/2020,FIT,Kemahasiswaan,204.0,203.7632314332967
30/04/2020,FIT,Pengembangan Infrastruktur,112.0,106.71771682386165
30/04/2020,FIK,Operasional,482.0,449.0733360360088
30/04/2020,FIK,Riset dan Pengembangan,457.0,450.20422575977767
30/04/2020,FIK,Kemahasiswaan,170.0,164.98537962744746
30/04/2020,FIK,Pengembangan Infrastruktur,329.0,297.9315028813852
31/05/2020,FTE,Operasional,230.0,224.04628212670832
31/05/2020,FTE,Riset dan Pengembangan,269.0,254.9459946693646
31/05/2020,FTE,Kemahasiswaan,279.0,264.94006431593965
31/05/2020,FTE,Pengembangan Infrastruktur,280.0,260.33156650417857
31/05/2020,FRI,Operasional,371.0,337.5558061097641
31/05/2020,FRI,Riset dan Pengembangan,110.0,106.59344247904782
31/05/2020,FRI,Kemahasiswaan,163.0,151.317994943102
31/05/2020,FRI,Pengembangan Infrastruktur,423.0,395.14025920831097
31/05/2020,FIF,Operasional,238.0,218.6985506221238
31/05/2020,FIF,Riset dan Pengembangan,586.5,373.0319673974023
31/05/2020,FIF,Kemahasiswaan,210.0,202.8041390278449
31/05/2020,FIF,Pengembangan Infrastruktur,180.0,163.34986443075536
31/05/2020,FEB,Operasional,279.0,256.5115931807013
31/05/2020,FEB,Riset dan Pengembangan,595.5,368.5214713278122
31/05/2020,FEB,Kemahasiswaan,425.0,389.57732380062384
31/05/2020,FEB,Pengembangan Infrastruktur,262.0,243.36937092045528
31/05/2020,FKB,Operasional,131.25,166.6132283093574
